drug_name_ru;drug_name_en;drugscom_link;drugscom_id;rlsnet_link;pdf_dir;
Амиодарон;Amiodarone;amiodarone;None;/drugs/amiodaron-192;1;
Амлодипин;Amlodipine;amlodipine;172-0;/drugs/amlodipin-24511;;
Апиксабан;Apixaban;apixaban;3438-0;None;;
Ацетазоламид;Acetazolamide;acetazolamide;86-0;/drugs/acetazolamid-55682;1;
Ацетилсалициловая кислота;Acetylsalicylicacid;acetylsalicylic-acid;243-3224;/drugs/acetilsalicilovaia-kislota-182;1;
Бисопролол;Bisoprolol;bisoprolol;393-0;/drugs/bisoprolol-35272;1;
Валсартан;Valsartan;valsartan;2288-0;None;;
Валсартан+сакубитрил;Valsartanandsacubitril;sacubitril-valsartan;3637-0;/active-substance/valsartan-sakubitril-3597;;
Гидрохлоротиазид;Hydrochlorothiazide;hydrochlorothiazide;1257-0;None;1;
Дабигатрана этексилат;Dabigatran;dabigatran;3266-0;None;;
Дапаглифлозин;Dapagliflozin;dapagliflozin;3506-0;/drugs/forsiga-61052;1;
Дигоксин;Digoxin;digoxin;883-0;None;;
Добутамин;Dobutamine;dobutamine;919-0;None;;
Допамин;Dopamine;dopamine;928-0;None;1;
Железа карбоксимальтозат;Ferric carboxymaltose;ferric-carboxymaltose;3482-0;None;;
Ивабрадин;Ivabradine;ivabradine;3618-0;None;1;
Изосорбида динитрат;Isosorbide dinitrate;isosorbide-dinitrate;None;/active-substance/izosorbida-dinitrat-541;1;
Канаглифлозин;Canagliflozin;canagliflozin;3465-0;/active-substance/kanagliflozin-3532;;
Кандесартан;Candesartan;candesartan;487-0;/drugs/kandesartan-79949;;
Каптоприл;Captopril;captopril;493-0;/drugs/kapoten-1567;1;
Карведилол;Carvedilol;carvedilol;531-0;None;1;
Левосимендан;Levosimendan-nativ;None;None;/drugs/levosimendan-79151;1;
Лизиноприл;Lisinopril;lisinopril;1476-0;/drugs/lizinopril-25120;1;
Линаглиптин;Linagliptin;linagliptin;None;None;;
Лозартан;Losartan;losartan;None;None;;
Метопролол;Metoprolol;metoprolol;1615-0;/drugs/metoprolol-1964;1;
Метформин;Metformin;metformin;1573-0;/drugs/metformin-1982;1;
Морфин;Morphine;morphine;1656-0;None;1;
Небиволол;Nebivolol;nebivolol;2788-0;/drugs/nebivolol-44175;1;
Никорандил;Nicorandil;None;None;None;1;
Нитроглицерин;Nitroglycerin;nitroglycerin;None;/drugs/nitroglicerin-2189;1;
Нитропруссида натрия дигидрат;Sodium nitroprusside dihydrate;None;None;None;;
Норэпинефрин;Norepinephrine;norepinephrine;1729-0;None;1;
Периндоприл;Perindopril;perindopril;1830-0;None;;
Противогриппозная и противопневмококковая вакцинация;Influenzaandanti-pneumococcalvaccination;None;None;None;;
Рамиприл;Ramipril;ramipril;1989-0;/drugs/ramipril-36105;1;
Ранолазин;Ranolazine;ranolazine;1993-0;/active-substance/ranolazin-3146;1;
Ривароксабан;Rivaroxaban;rivaroxaban;3332-0;/drugs/ksiltess-90217;;
Сертралин;Sertraline;sertraline;2057-0;None;1;
Ситаглиптин;Sitagliptin;sitagliptin;2070-0;None;;
Спираприл;Spirapril;None;None;None;;
Спиронолактон;Spironolactone;spironolactone;2105-0;None;;
Торасемид;Torsemide;torsemide;2219-0;/drugs/torasemid-46472;1;
Триметазидин;Trimetazidine;None;None;/drugs/trimetazidin-mv-akrixin-81468;;
Фелодипин;Felodipine;felodipine;1069-0;None;;
Фозиноприл;Fosinopril;fosinopril;1140-0;/drugs/fozinopril-38487;1;
Фондапаринукс натрия;Fondaparinux sodium;None;None;/drugs/arikstra-24702;;
Фуросемид;Furosemide;furosemide;1146-0;/drugs/furosemid-3288;;
Хинаприл;Quinapril;quinapril;1980-0;None;;
Эмпаглифлозин;Empagliflozin;empagliflozin;3548-0;/active-substance/empagliflozin-3226;;
Эналаприл;Enalapril;enalapril;972-0;/drugs/enalapril-3723;1;
Эпинефрин;Epinephrine injection;None;None;None;1;
Эплеренон;Eplerenone;eplerenone;997-0;/active-substance/eplerenon-3012;;
Эсциталопрам;Escitalopram;escitalopram;1013-0;/drugs/escitalopram-66941;;
Аллопуринол;Allopurinol;allopurinol;None;/drugs/milurit-82252;1;
Тафамидис;Tafamidis;tafamidis;None;/active-substance/tafamidis-3679;;
Гепарин;Heparin;heparin;None;None;1;
Колхицин;Colchicine;colchicine;None;None;;
Лираглутид;Liraglutide;liraglutide;None;None;;
Амброксол;ambroxol;None;None;/drugs/lazolvan-3747;;
Ампициллин;ampicillin;ampicillin;None;None;;
Ацетилцистеин;acetylcysteine;acetylcysteine;None;None;1;
Ибупрофен;ibuprofen;ibuprofen;None;None;1;
Ксилометазолин;xylometazoline;None;None;/active-substance/ksilometazolin-692;1;
Моксифлоксацин;moxifloxacin;moxifloxacin;None;None;;
Нафазолин;naphazoline-nasal;None;None;None;;
Оксиметазолин;oxymetazoline-nasal;oxymetazoline-nasal;None;/drugs/afrin-951;1;
Осельтамивир;oseltamivir;oseltamivir;None;None;;
Парацетамол;paracetamol;paracetamol;None;/drugs/paracetamol-920;1;
Цефотаксим;cefotaxime;cefotaxime;None;/drugs/cefotaksim-3395;1;
Цефтриаксон;ceftriaxone;ceftriaxone;None;/drugs/ceftriakson-16848;;
Амоксициллин+клавулановая кислота;amoxicillin-clavulanate;amoxicillin-clavulanate;None;/drugs/amoksicillin-klavulanovaia-kislota-56918;1;
Ампициллин+сульбактам;ampicillin-and-sulbactam;ampicillin-and-sulbactam;None;None;;
Парацетамол+Фенилэфрин+Фенирамин;ascorbic-acid;ascorbic-acid;None;None;1;
Бромгексин;Bromhexine;None;None;/drugs/bromgeksin-8-34367;1;
Бромгексин+Гвайфенезин+Сальбутамол;Bromhexine+Guaifenesin+Salbutamol;None;None;None;;
Бутамират;Butyrate;None;None;/drugs/butamirat-80091;1;
Имидазолилэтанамид пентандиовой кислоты;Imidazolylethanamideof pentanedioic acid;None;None;None;;
Интерферон альфа-2b;Interferon alpha-2b;None;None;/drugs/intron-a-6353;;
Тилорон;Tilorone;None;None;None;;
Умифеновир;Umifenovir;None;None;/drugs/umifenovir-80106;1;
Меглюмина акридонацетат;Meglumine acrylonitrile;None;None;None;1;
Занамавир;Zanamivir;zanamivir;None;None;;
Балоксавира марбоксил;Baloxavir marboxil;baloxavir-marboxil;None;None;;
Риамиловир;Riamilovir;None;None;None;;
Энисамия йодид;Enisamy iodide;None;None;None;;
Интерферон гамма человеческий рекомбинантный;Human recombinant Interferon gamma;None;None;None;;
